tracker id,wiki page,country,"subnational unit (province, state)",unit,plant,chinese name,sponsor,parent,capacity (mw),status,year,region,latitude,longitude
114022,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-C power station Unit 1,Afşin-Elbistan-C power station,,EÜAŞ,EÜAŞ,600,Pre-permit,2024,non-EU Europe,38.350818,37.00706
114023,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-D power station,Afşin-Elbistan-D power station,,EÜAŞ,EÜAŞ,1200,Cancelled,,non-EU Europe,38.350818,37.00706
114024,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-E power station,Afşin-Elbistan-E power station,,EÜAŞ,EÜAŞ,1400,Cancelled,,non-EU Europe,38.350818,37.00706
114025,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-G power station,Afşin-Elbistan-G power station,,EÜAŞ,EÜAŞ,1400,Cancelled,,non-EU Europe,38.350818,37.00706
114256,https://www.gem.wiki/K%C4%B1n%C4%B1k_power_station,Turkey,İzmir,Kınık power station Unit 2,Kınık power station,,Polyak Eynez Enerji Üretim Madencilik Sanayi ve Ticaret,Polyak Eynez Enerji Üretim Madencilik Sanayi ve Ticaret,350,Permitted,2021,non-EU Europe,39.084,27.45
114259,https://www.gem.wiki/Vize_power_station,Turkey,Marmara,Vize power station Unit 1,Vize power station,,Turkish Coal Enterprise (TKI),TBD,330,Cancelled,,non-EU Europe,41.5729962,27.811652
114261,https://www.gem.wiki/Sanko_Yumurtal%C4%B1k_power_station,Turkey,Adana,Sanko Yumurtalık power station Unit 2,Sanko Yumurtalık power station,,Sanko Petrokimya Mam. San. Tic.,Sanko Holding,800,Shelved,,non-EU Europe,36.876,35.894
114287,https://www.gem.wiki/Alpu_power_station,Turkey,Eskişehir,Alpu power station Unit 3,Alpu power station,,"EÜAŞ, Turkish Coal Enterprise","EÜAŞ, Turkish Coal Enterprise",360,Pre-permit,,non-EU Europe,39.897,30.862
114288,https://www.gem.wiki/Biga_power_station,Turkey,Çanakkale,Biga power station Unit 2,Biga power station,,Biga Elektrik,Biga Elektrik,770,Cancelled,,non-EU Europe,40.47233,27.28625
114289,https://www.gem.wiki/HEMA_Amasra_power_station,Turkey,Bartin,HEMA Amasra power station Unit 2,HEMA Amasra power station,,HEMA Elektrik Üretim A.Ş.,Hattat Holding,660,Shelved,,non-EU Europe,41.723,32.349
114290,https://www.gem.wiki/Ilg%C4%B1n_power_station,Turkey,Konya,Ilgın power station Unit 2,Ilgın power station,,Konya Ilgın Elektrik Üretim ve Ticaret,Ciner Holding,250,Permitted,,non-EU Europe,38.26,31.91
114294,https://www.gem.wiki/Vize_power_station,Turkey,Marmara,Vize power station Unit 2,Vize power station,,Turkish Coal Enterprise (TKI),TBD,330,cancelled,,non-EU Europe,41.5729962,27.811652
