id,version_id,mobilizing_group_id
924,6,13
925,6,16
926,6,18
927,6,19
928,6,20
929,6,21
930,6,23
822,2,10
823,2,13
824,2,18
825,2,19
826,2,20
827,2,21
828,4,2
829,4,8
830,4,10
831,4,11
832,4,13
833,4,14
834,4,19
835,4,20
916,5,1
917,5,2
918,5,11
919,5,13
920,5,16
921,5,19
922,5,20
923,5,21
931,3,1
932,3,11
933,3,13
934,3,19
935,3,20
