id,version_id,product_id
178,2,4
179,2,50
180,4,6
181,4,9
182,4,10
183,4,11
184,4,12
185,4,13
186,4,14
187,4,15
188,4,19
189,4,24
190,4,25
191,4,32
192,4,33
193,4,34
194,4,35
195,4,39
196,4,49
197,4,50
198,4,51
209,5,15
210,6,47
211,3,7
212,3,53
